Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749671479,10,,Aggregated,3.100000,0.100000,2000,2100,2100,2100,2300,4100,4100,4100,4100,4100,4100,76,3,2023.3896998688579,2241.5931131537563,2023.3896998688579,4149.041299941018,6998.210526315789
1749671480,10,,Aggregated,3.100000,0.000000,2000,2100,2100,2100,2300,4100,4100,4100,4100,4100,4100,79,3,2018.7317000236362,2233.345044299347,2018.7317000236362,4149.041299941018,6999.06329113924
1749671481,10,,Aggregated,3.100000,0.100000,2000,2100,2100,2100,2200,4100,4100,4100,4100,4100,4100,82,3,2018.7317000236362,2226.1344451150608,2018.7317000236362,4149.041299941018,7235.829268292683
1749671482,10,,Aggregated,3.300000,0.100000,2000,2100,2100,2100,2200,4100,4100,4100,4100,4100,4100,86,3,2018.7317000236362,2217.542090691453,2018.7317000236362,4149.041299941018,6940.918604651163
1749671483,10,,Aggregated,3.100000,0.100000,2000,2100,2100,2100,2200,4100,4100,4100,4100,4100,4100,87,3,2018.7317000236362,2217.4613747087405,2018.7317000236362,4149.041299941018,7109.0344827586205
1749671484,10,,Aggregated,3.200000,0.100000,2000,2100,2100,2100,2300,4100,4100,4200,4200,4200,4200,93,4,2018.7317000236362,2234.844855906602,2018.7317000236362,4231.410899898037,7156.1720430107525
1749671485,10,,Aggregated,3.100000,0.100000,2000,2100,2100,2100,2300,4100,4100,4200,4200,4200,4200,94,4,2018.7317000236362,2233.2162680773145,2018.7317000236362,4231.410899898037,7081.372340425532
1749671486,10,,Aggregated,3.200000,0.200000,2000,2100,2100,2100,2300,4100,4200,4200,4200,4200,4200,100,5,2018.7317000236362,2243.2419499894604,2018.7317000236362,4231.410899898037,6910.56
1749671487,10,,Aggregated,3.200000,0.200000,2000,2100,2100,2100,2300,4100,4100,4200,4200,4200,4200,101,5,2018.7317000236362,2241.3795683071903,2018.7317000236362,4231.410899898037,7141.089108910891
1749671488,10,,Aggregated,3.100000,0.200000,2000,2100,2100,2100,2300,4100,4100,4200,4200,4200,4200,105,5,2018.7317000236362,2233.8600695155383,2018.7317000236362,4231.410899898037,6925.285714285715
1749671489,10,,Aggregated,3.300000,0.300000,2000,2100,2100,2100,2300,4100,4100,4200,4200,4200,4200,110,5,2018.7317000236362,2225.1023199896076,2018.7317000236362,4231.410899898037,7249.563636363637
1749671490,10,,Aggregated,3.100000,0.300000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,111,5,2018.7317000236362,2223.3661171069857,2018.7317000236362,4231.410899898037,7485.252252252252
1749671491,10,,Aggregated,3.300000,0.200000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,115,5,2018.7317000236362,2217.4910408586425,2018.7317000236362,4231.410899898037,7555.026086956522
1749671492,10,,Aggregated,3.200000,0.200000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,118,5,2018.7317000236362,2213.0612330412555,2018.7317000236362,4231.410899898037,7675.076271186441
1749671493,10,,Aggregated,3.200000,0.200000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,123,5,2018.7317000236362,2206.1063227550376,2018.7317000236362,4231.410899898037,8296.016260162602
1749671494,10,,Aggregated,3.200000,0.200000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,123,5,2018.7317000236362,2206.1063227550376,2018.7317000236362,4231.410899898037,8296.016260162602
